filename,num_lines,answer
task056_multirc_classify_correct_answer.json,1818,['Yes.']
task057_multirc_classify_incorrect_answer.json,2915,['No.']
task065_timetravel_consistent_sentence_classification.json,6500,['Option 1']
task066_timetravel_binary_consistency_classification.json,6500,['No']
task069_abductivenli_classification.json,6500,['1']
task070_abductivenli_incorrect_classification.json,6500,['2']
task092_check_prime_classification.json,6500,['No']
task108_contextualabusedetection_classification.json,3996,['yes']
task1130_xcsr_vi_commonsense_mc_classification.json,993,['B']
task1131_xcsr_es_commonsense_mc_classification.json,993,['C']
task1132_xcsr_ur_commonsense_mc_classification.json,993,['E']
task1133_xcsr_nl_commonsense_mc_classification.json,993,['D']
task1134_xcsr_hi_commonsense_mc_classification.json,993,['B']
task1135_xcsr_en_commonsense_mc_classification.json,993,['E']
task1136_xcsr_fr_commonsense_mc_classification.json,993,['E']
task1137_xcsr_pt_commonsense_mc_classification.json,993,['E']
task1138_xcsr_de_commonsense_mc_classification.json,993,['D']
task1139_xcsr_ru_commonsense_mc_classification.json,993,['B']
task1140_xcsr_pl_commonsense_mc_classification.json,993,['D']
task1141_xcsr_zh_commonsense_mc_classification.json,993,['C']
task1142_xcsr_ar_commonsense_mc_classification.json,993,['C']
task1143_xcsr_it_commonsense_mc_classification.json,993,['E']
task1144_xcsr_sw_commonsense_mc_classification.json,993,['C']
task1145_xcsr_jap_commonsense_mc_classification.json,993,['D']
task115_help_advice_classification.json,5745,['no']
task1162_coda19_title_classification.json,6077,['False']
task1163_coda19_section_classification.json,5200,['method']
task1164_coda19_section_correction_classification.json,6500,['True']
task1186_nne_hrngo_classification.json,3169,['1']
task1187_politifact_classification.json,6498,['False']
task1193_food_course_classification.json,220,['main course']
task1196_atomic_classification_oeffect.json,6493,['No']
task1197_atomic_classification_oreact.json,6493,['Yes']
task1198_atomic_classification_owant.json,6493,['Yes']
task1199_atomic_classification_xattr.json,6494,['Yes']
task1200_atomic_classification_xeffect.json,6493,['Yes']
task1201_atomic_classification_xintent.json,6494,['No']
task1202_atomic_classification_xneed.json,6493,['Yes']
task1203_atomic_classification_xreact.json,6494,['No']
task1204_atomic_classification_hinderedby.json,6491,['No']
task1205_atomic_classification_isafter.json,6493,['No']
task1206_atomic_classification_isbefore.json,6494,['No']
task1207_atomic_classification_atlocation.json,6493,['Yes']
task1208_atomic_classification_xreason.json,732,['No']
task1209_atomic_classification_objectuse.json,6494,['Yes']
task1210_atomic_classification_madeupof.json,5299,['Yes']
task1211_atomic_classification_hassubevent.json,6494,['No']
